Name in English,Name in Urdu
Waqas,وقاص
Waqar,وقار
Ward,ورد
Waseem,وسیم
Wasim,وسیم
Waleed,ولید
Wahab,وہاب
Wasif,واصف
Waris,وارث
Wali,ولی
Wahid,واحد
Wajid,واجد
Wajahat,وجاہت
Walid,والد
Waheed,وحید
Wasi,وصی
Wahaj,وہاج
Wejdan,وجدان
Wisal,وصال
Wajib,واجب
Wazir,وزیر
Wasiq,واثق
Wamiq,وامق
Wafi,واقی
Wasil,واصل
Wase,واسع
Wakeel,وکیل
Wajih,وجیہ
Wajeeh,وجی
Wail,ولی
Warid,وارد
Wilayat,ویلایت
Wadood,ودود
Waahid,واحد
Wahib,واہب
Wasi',وصی
Wahdat,وہادت
Wafiq,وافق
Wahhaj,وہاج
Walayat,ولایت
Wahhab,وہاب
Wadi',وادیع
Washid,واشد
Wasaq,وثاق
Wa'ae,واعی
Wasf,وصف
Waahib,واحب
Wafid,وافد
Waseeq,وثیق
Wazeer,وزیر
Waqid,واقد
Wasaf,وصاف
Wasti,واسطی
Wasee',وصی
Wasef,واسف
Waamiq,وامق
Waa'iz,واعز
Waqee,وقیع
Wadee',وادی
Wathiq,واتحق
Wirad,وراد
Wa'il,واعیل
Waqam,وقام
Waqaar,وقار
Wafeeq,وافق
Wariq,وارق
Wehdan,وحدان
Waa'il,واعئل
Waathiq,واثق
Wasat,واسط
Wa'iz,واعض
Wedeed,ودید
Waliyuddin,ولی الدین
Waliyullah,ولی اللہ
Waliyudeen,ولی الدین
Wafer,وافر
Weshad,وشاد
Waafi,وافی
Waaee,واعی
Wasib,واسب
Wahhaaj,وہاج
Wilaayat,ویلایت
Waied,واعد
Waqif,واقف
Wajaahat,وجاہت
Waae,واعی
Waiz,واعض
Waafer,وافر
Waahdat,وحدت
Wafiyy,وفی
Wiraathat,وراثت
Wasit,واسط
Wasay,واسع
Wirathat,وراتہت
Waliyuddeen,ولی الدین
Wardan,وردان
Wasiqi,واثقی
Wasfi,واصفی
Wesell,وصیل
Waseef,وصیف
Wasfa,وصفیٰ
Warah,وارہ
Waseel,وصیل
Werdaan,وردان
Waqar Ali,وقار علی
Wijh,وجہہ
Waqar Ahmed,وقار احمد
Wijaahat,وجاہت
Wahdan,وحدان
Waris Ali,وارثعلی
Wijdaan,وجدان
Wafaq,وفاق
Wiaqs,ویاقص
Waail,وائل
Weryaam,وریام
Waaiz,واعظ
Weraaq,وراق
Wiraaq,وراق
Werfaan,ورفان
Waseem Ali,وسیم علی
Wali Ahmed,ولی احمد
Walee,ولی
Weraad,وراد
Wijaah,وجاح
Waseem Ahmed,وسیم احمد
Welaayat,ولایت
Waqas Ali,وقاص علی
Warad,وراد
Warood,ورود
Wird,ورد
Waqed,واقد
Waseed,وصید
Wilaaf,ولاف
Walil,ولیل
Wawdad,واؤداد
Waani,وانی
Waseet,وسیط
Wasem,وسیم
Waseem Hussain,وسیم حسین
Wasatat,وساطت
Warfan,ورفان
Waqar Hussain,وقار حسین
Waqas Ahmed,وقاص احمد
Waali,ولی
Waleed Ahmed,ولید احمد
Wasalat,وسالت
Werdet,وردت
Wajad,وجد
Wasaaq,وثاق
Wadd,واڈ
Wurdet,وردت
Waqas Hussain,وقاص حسین
Wasaamah,وسامہ
Wasee,وصی
Waaris,وارث
Wadid,ودید
Waaid,واعد
Werqaa,ورقہ
Waarad,وارد
Wasif Ali,واصفعلی
Wali Hussain,ولی حسین
Wasna-a,وصناع
Wartaaj,ورتاج
Wali Ali,ولی علی
Waheed Ahmed,وحیداحمد
Waleed Ali,ولید علی
Wahb,وہب
Wazaah,وضاح
Waris Ahmed,وارثاحمد
Wasaalat,وسالت
Wasaaf,وصاف
Waalee,والی
Waris Hussain,وارثحسین
Wazee,وضی
Wakeey,وکیع
Washaakh,وشاخ
Waheed Ali,وحیدعلی
Wadin,ودین
Waeed,وعید
Waarid,وارد
Wazilah,وذیلہ
Wahab Ali,وہاب علی
Walid Ali,والدعلی
Wasif Hussain,واصفحسین
Walid Hussain,والدحسین
Waaqi,واقی
Wahid Ali,واحدعلی
Waheed-Ul-Zamaan,وحید الزمان
Washed,واشد
Walid Ahmed,والداحمد
Wajjih,وجیح
Washeeq,وشیک
Waheb,واہب
Wasaamat,وسامت
Warqan,ورقان
Wamaq,وامق
Wazaan,وزان
Waqalat,وکالت
Wahaaj,وہاج
Waajef,واجف
Wasif Ahmed,واصفاحمد
Wayaas,ویاص
Wasout,وسوط
Wasseat,وسیت
Wasqi,وثقی
Wasoot,وسوط
Wasim Ahmed,وسیم احمد
Waajab,واجب
Waleed Hussain,ولید حسین
Wahid Hussain,واحدحسین
Wajahat Ali,وجاہتعلی
Waqaas,وقاص
Wafee,وفی
Wasim Ali,وسیم علی
Waraasat,وراثت
Waqqaar,وقار
Waqeey,وقیع
Wakeeh,وکیع
Waariq,وارق
Wasim Hussain,وسیم حسین
Wafed,وافد
Wertaj,ورتاج
Waase,ویز
Wadeed,ودید
Waqaam,وقام
Wahdaan,وحدان
Wajie,وجیع
Waajad,واجد
Washaaq,وشاق
Waqyaam,وقیام
Waameq,وامق
Waaqif,واقف
Wajahat Hussain,وجاہتحسین
Wameq,وامق
Waanid,واند
Wujoob,وجوب
Wesaal,وصال
Wajaf,واجف
Wasooq,وثوق
Wasuf,واسف
Wajahat Ahmed,وجاہتاحمد
Wahab Hussain,وہاب حسین
Warad,وراد
Waheed Hussain,وحیدحسین
Wahid Ahmed,واحداحمد
Wahab Ahmed,وہاب احمد
Wafaa,وفا
Waasiq,واثق
Wafaaq,وفاق
Westaar,وستار
Waraaq,وراق
Waleel,ولیل
Wasuf,واسف
Waarina,وارینہ
Waasil,واصل
Wadaad,وداد
Waqoor,وقور
Wahaab,وہاب
Wajjahat,وجاہت
Wafaaqat,وفاقت
Wafar,وافر
Waasif,واسف
Waqqaad,وقاد
Wabaas,وباص
Wabees,وبیص
Waasti,واسطی
Waad,واد
Waadi,وادی
Waafeez,وافیز
Waabil,وابیل
Wildan,وائلڈن
Wajdan,وجدان
Wasid,وصید
Wafadar,وفادار
Wasiullah,وصی اللہ
Wasik,وسیک
Wissam,وسام
Waish,واش
Waliullah,ولی اللہ
Waafir,وفیر
Waafy,وافی
Waafid,وافید
Waajid,واجد
Wais,ویس
Waaizh,واعظ
Waafiq,وفیق
Wesam,ویسم
Waseer,وسیر
Wiam,ویام
Wajdi,وجدی
Wasey,واسی
Wasam,وسام
Warish,واریش
Waira,وائرہ
Wanis,وانی
Waseq,وسیق
Waliur,ولیور
Walif,والیف
Wajihuddin,وجیہہ الدین
Wahiduzzaman,وحید الزمان
Wadaan,وڈان
Wazin,وازین
Wahed,وحید
Warith,واریت
Wale,ویلے
Waqqas,وقاص
Wid,چوڑا
Wadih,ودیح
Waf,واف
Wayel,وائل
Wareef,واریف
Waraqah,ورقہ
Wasy,ویسا
Wahidun,واحدون
Wasl,وسل
Wahidan,واحدان
Weis,ویس
Wabil,وابیل
Wahbi,وہبی
Was,تھا
Wilan,ولان
Wadda,وڈا
Wildaan,وائلڈان
Worshipper,عبادت کرنے والا
Wahaad,وہاد
Wuhaib,وہیب
Waddah,ودہ
Waziran,وزیران
Wal,وال
Wahiduddin,وحید الدین
Wazeen,وازین
Waheeb,وہیب
Wagih,وگیہ
Wajeehan,وجیہہ
Witr,وتر
Wisaam,وسام
Wakar,وقار
Wadud,ودود
Wahbaan,وہبان
Waazi,وازی
Wajeed,واجد
Witha,کے ساتھ
Wardi,وردی
Waasi,وصی
Wassim,وسیم
Wajed,واجد
Wasool,وصول
Wafae,وفا
Wassaf,واصف
Wafie,وافی
Wajir,وزیر
Wasimuddin,وسیم الدین
Wuraid,ورید
Wakdar,وکدر
Wad,واڈ
Widadi,ودادی
Waheebullah,وحیب اللہ
Wohayb,وہیب
Wathaq,واثق
Wardaa,وردہ
Wajeh,واجہ
Waqf,وقف
Wajeeb,واجب
Walied,ولید
Wazeem,وسیم
Wafaqat,وفاق
Waled,ولید
Waqqad,وقاد
Walaa,والا
Witny,وٹنی
Wafeer,وفیر
Wahban,وہبن
Wardun,وارڈن
Wabl,وابل
Wasiem,وسیم
Waarith,واریت
Wakill,وکیل
Wafai,وفائی
Waleef,ولیف
Waasey,واسی
Waheid,وحید
Wafic,وافک
Wuhayb,وہیب
Waleid,ولید
Waqqar,وقار
Wassem,وسیم
Waqur,وقار
Wahieb,وہیب
Waayel,وائل
Wasfeeq,واصف
Wafaai,وفائی
Watheq,وثیق
Waliy,ولی
Waseemah,وسیمہ
Waasim,وسیم
Wahbullah,وھب اللہ
Wifaaq,وفاق
Waddood,ودود
Wafaee,وافی
Waleei,والی
Waseim,وسیم
Waddeen,وادین
Wasiyy,وصی
Wakaalat,وکالت
Wallad,والڈ
Wasym,وسیم
Wahidaan,واحدان
Walliyullah,ولی اللہ
Waddaah,ودہ
Walleed,ولید
Wallid,ولید
Waliyy,والی
Waatiq,واثق
Wasseem,وسیم
Wadei,وڈے
Waizh,واعظ
Walyd,ولید
Wamooq,واموق
